#I[A]         B_int[T*mm]   angle[mrad]    curr.dens[A/mm^2]    B_max[T]

0.4458909682    3.7107378    9.3413932    0.2000000     0.0503238
0.8917819365    7.4577791    18.7768364   0.4000000     0.1011523
1.3376729048    11.2369576   28.3001327   0.6000000     0.1524066
1.7835638730    15.0443916   37.9064288   0.8000000     0.2040181
2.2294548413    18.8398151   47.4864494   1.0000000     0.2554604
2.6753458096    22.5719329   56.9088757   1.2000000     0.3060336
3.1212367778    26.1662114   65.9825572   1.4000000     0.3547091
3.5671277461    29.1977706   73.6297917   1.6000000     0.3956658
4.0130187144    31.5206937   79.4871073   1.8000000     0.4268541
4.4589096826    33.0935634   83.4525477   2.0000000     0.4477093
4.9048006509    34.1706051   86.1685367   2.2000000     0.4617270
5.3506916192    35.2404001   88.8672923   2.4000000     0.4756183
5.7965825874    36.3948092   91.7813775   2.6000000     0.4906184
6.2424735557    37.4629765   94.4788648   2.8000000     0.5044087

