#I[A]	k[1/m]	g[T/m]	g_int[T]	j[A/mm^2]
0.478881	13.638920	3.639563	0.291165	0.200000
0.957763	27.431997	7.320263	0.585621	0.400000
1.436644	41.239274	11.004753	0.880380	0.600000
1.915526	55.025943	14.683743	1.174699	0.800000
2.394407	68.767668	18.350740	1.468059	1.000000
2.873289	82.346195	21.974187	1.757935	1.200000
3.352170	95.163410	25.394477	2.031558	1.400000
3.831052	106.028368	28.293805	2.263504	1.600000
4.309933	114.201414	30.474793	2.437983	1.800000
4.549374	118.406584	31.596948	2.527756	1.900000
4.788815	122.379087	32.657016	2.612561	2.000000
5.028255	120.360963	32.118477	2.569478	2.100000
5.267696	122.162764	32.599290	2.607943	2.200000
5.746578	125.410965	33.466076	2.677286	2.400000
5.986018	126.914165	33.867207	2.709377	2.500000
