#I[A]	k[1/m]	g[T/m]	g_int[T]	j[A/mm^2]
0.478881	17.412790	4.646625	0.371730	0.200000
0.957763	34.983998	9.335525	0.746842	0.400000
1.436644	52.536419	14.019411	1.121553	0.600000
1.915526	70.024551	18.686141	1.494891	0.800000
2.394407	87.195462	23.268220	1.861458	1.000000
2.873289	102.595290	27.377684	2.190215	1.200000
3.352170	114.290331	30.498521	2.439882	1.400000
3.831052	124.944914	33.341710	2.667337	1.600000
4.309933	125.233688	33.418769	2.673502	1.800000
4.788815	129.272647	34.496571	2.759726	2.000000
5.267696	132.543948	35.369522	2.829562	2.200000
5.746578	135.422380	36.137635	2.891011	2.400000
5.986018	136.727133	36.485810	2.918865	2.500000
